,product_class_id,product_subcategory,product_category,product_department,product_family
92,93,Tuna,Canned Tuna,Canned Foods,Food
93,94,Shrimp,Canned Shrimp,Canned Foods,Food
94,95,Anchovies,Canned Anchovies,Canned Foods,Food
95,96,Clams,Canned Clams,Canned Foods,Food
96,97,Oysters,Canned Oysters,Canned Foods,Food
97,98,Sardines,Canned Sardines,Canned Foods,Food
98,99,Fresh Fruit,Fruit,Produce,Food
99,100,Frozen Chicken,Meat,Frozen Foods,Food
100,101,Batteries,Electrical,Household,Non-Consumable
101,102,Maps,Miscellaneous,Checkout,Non-Consumable
102,103,Screwdrivers,Hardware,Checkout,Non-Consumable
103,104,Sports Magazines,Magazines,Periodicals,Non-Consumable
104,105,Home Magazines,Magazines,Periodicals,Non-Consumable
105,106,Fashion Magazines,Magazines,Periodicals,Non-Consumable
106,107,Computer Magazines,Magazines,Periodicals,Non-Consumable
107,108,Auto Magazines,Magazines,Periodicals,Non-Consumable
108,109,Dried Fruit,Snack Foods,Snack Foods,Food
109,110,Popsicles,Frozen Desserts,Frozen Foods,Food
